"Month","Weigeledangxiong Glacier"
2009-02,-1.441330791
2009-03,-1.425379038
2009-04,-1.433354855
2009-05,-1.45742619
2009-06,-1.48092258
2009-07,-1.500395179
2009-08,-1.528346658
2009-09,-1.563483477
2009-10,-1.60889554
2009-11,-1.655385494
2009-12,-1.689157128
2010-01,-1.7000072
2010-02,-1.67945683
2010-03,-1.663720608
2010-04,-1.670475006
2010-05,-1.692677975
2010-06,-1.720485687
2010-07,-1.745994091
2010-08,-1.768053412
2010-09,-1.805848956
2010-10,-1.852985501
2010-11,-1.900122166
2010-12,-1.937199116
2011-01,-1.947258711
2011-02,-1.933534503
2011-03,-1.91736722
2011-04,-1.925271273
2011-05,-1.957965136
2011-06,-1.984694958
2011-07,-2.006682396
2011-08,-2.031615973
2011-09,-2.072429419
2011-10,-2.123805523
2011-11,-2.176834106
2011-12,-2.216354132
2012-01,-2.22691679
2012-02,-2.215204477
2012-03,-2.204354286
2012-04,-2.214988947
2012-05,-2.240784645
2012-06,-2.268736124
2012-07,-2.293741465
2012-08,-2.321549177
2012-09,-2.360853672
2012-10,-2.404900551
2012-11,-2.452540159
2012-12,-2.492347479
2013-01,-2.502047777
2013-02,-2.482934475
2013-03,-2.463461876
2013-04,-2.466408014
2013-05,-2.485090256
2013-06,-2.5097363
2013-07,-2.521664143
2013-08,-2.536178827
2013-09,-2.572177887
2013-10,-2.607171059
2013-11,-2.649349689
2013-12,-2.676726341
2014-01,-2.678666353
2014-02,-2.653517246
2014-03,-2.626212597
2014-04,-2.627002954
2014-05,-2.64575696
2014-06,-2.661565065
2014-07,-2.672774315
2014-08,-2.687432528
2014-09,-2.714881182
2014-10,-2.759430885
2014-11,-2.798376083
2014-12,-2.831860304
2015-01,-2.82819581
2015-02,-2.809298038
2015-03,-2.784508228
2015-04,-2.785657883
2015-05,-2.80254364
2015-06,-2.824603081
2015-07,-2.839045763
2015-08,-2.858015299
2015-09,-2.894445658
2015-10,-2.93834877
2015-11,-2.982539415
2015-12,-3.012430906
2016-01,-3.019975662
2016-02,-2.997628689
2016-03,-2.976359844
2016-04,-2.975785017
2016-05,-3.002155542
2016-06,-3.021700144
2016-07,-3.040238619
2016-08,-3.061363697
2016-09,-3.09513545
2016-10,-3.134367943
2016-11,-3.179205179
2016-12,-3.214270353
2017-01,-3.219659328
2017-02,-3.196522236
2017-03,-3.175899982
2017-04,-3.180211306
2017-05,-3.196953297
2017-06,-3.219084501
2017-07,-3.240353584
2017-08,-3.260472775
2017-09,-3.294531822
2017-10,-3.336997986
2017-11,-3.389020681
2017-12,-3.419414997
2018-01,-3.423079729
2018-02,-3.398217916
2018-03,-3.377380133
2018-04,-3.378673553
2018-05,-3.40360713
2018-06,-3.425450802
2018-07,-3.440827847
2018-08,-3.458863258
2018-09,-3.497808456
2018-10,-3.541639805
2018-11,-3.582884312
2018-12,-3.614787579
2019-01,-3.618093014
2019-02,-3.591938019
2019-03,-3.572968245
2019-04,-3.57246542
2019-05,-3.600129366
2019-06,-3.621110916
2019-07,-3.635912895
2019-08,-3.654810667
2019-09,-3.691169024
2019-10,-3.730689049
2019-11,-3.773155212
2019-12,-3.802471876
2020-01,-3.810878754
2020-02,-3.787023067
2020-03,-3.767550468
2020-04,-3.767263174
2020-05,-3.789897203
2020-06,-3.811453581
2020-07,-3.826399326
2020-08,-3.843788147
2020-09,-3.875476122
2020-10,-3.919379234
2020-11,-3.965940952
2020-12,-3.998059988
2021-01,-4.002227306
2021-02,-3.982611179
2021-03,-3.964863062
2021-04,-3.9678092
2021-05,-3.99238348
2021-06,-4.01401186
2021-07,-4.033268452
2021-08,-4.055327892
2021-09,-4.094991684
2021-10,-4.140978813
2021-11,-4.190845966
2021-12,-4.222677231
2022-01,-4.233311653
2022-02,-4.211827278
2022-03,-4.19300127
2022-04,-4.195588112
2022-05,-4.216713428
2022-06,-4.241646767
2022-07,-4.261981964
2022-08,-4.280591965
2022-09,-4.316806793
2022-10,-4.365955353
2022-11,-4.407774448
2022-12,-4.440396786
2023-01,-4.445641994
