TPW_dif,COMPLETE_dif,rank_dif,ATPP_dif,AAG_dif,SERVEADV,res_dif,speed,serve_width,serve_depth,return_depth,game_victor,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000277479,125.5,1.5,0.5,0.25,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000291122,123.25,1.375,0.5,0.875,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000231342,115.2,2.2,0.7,1.5,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000114858,109.75,1.375,0.75,1.25,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000123406,116.75,1.25,0.25,1.5,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,-0.000156109,115.8,0.8,0.8,1,2,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,0.000170782,121.8,2.2,0.6,1,1,,
0,0.010476357,-85,3303,-0.048681978,0.002178125,5.62E-05,123.5033333,1.833333333,0.583333333,1.083333333,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000338454,112.8,1.2,0.8,1,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,0.00012064,117.75,1.75,0.25,1.25,1,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000188729,117.01,1.125,0.75,1,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,0.000141714,110,1.8,0.8,1,1,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000149234,115.75,1.5,0.75,0.5,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,4.93E-05,107.8366667,0.75,0.5,1.083333333,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000218057,126.4,2,0.6,0.8,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000275997,113.5,1.5,0.666666667,1.5,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-9.90E-05,122.25,1.25,0.5,0.5,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,6.78E-05,104,1.333333333,0.5,1.666666667,1,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000140687,118.25,1.5,0.5,0.5,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,0.000117013,109,1,1,1,1,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-8.09E-05,111,1.5,0.333333333,1.5,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000101234,106.4,1.4,0.8,1,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000196414,114,1.2,0.4,0.8,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,0.000108511,106.2,2,0.6,1.2,1,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000170823,117.5066667,0.833333333,0.666666667,0.666666667,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,0.000163308,106,2,0.8,1.8,1,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000204199,123,0.75,0.5,1.25,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,0.000222474,111.3333333,1.666666667,0.833333333,1,1,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000190781,120,1.25,0.75,0.75,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000227305,107.5,1.333333333,1,1.5,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000181279,106.8,1.6,1,1.2,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-2.11E-05,101.4,1.8,0.8,1.2,2,,
-0.01,-0.016148153,2,-260,0.005938392,-0.029421875,-0.000361021,105.8,1.2,0.4,1.4,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,2.84E-05,100,0.25,0.5,1.5,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000103866,115.5,1,0.75,1,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000148627,106.5,2.25,1,1.75,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-6.58E-05,117.804,1.5,0.8,1.3,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000174666,111.25,2,0.5,1.5,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000137388,114.604,1.5,0.7,1.1,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000170245,103.375,0.5,0.5,1,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000270278,115.625,1.125,0.625,1.25,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000206717,94.5,1.5,0.75,1.5,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000122779,120.1666667,1.666666667,0.666666667,1.5,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000105922,105.25,1.5,0.75,1.5,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000141408,113.608,0.4,0.4,1,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000172656,113.2,0.8,0.6,0.6,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-9.49E-05,116.608,1.2,0.2,0.6,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000492785,100.4375,1.0625,0.8125,1.25,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000100557,114.0066667,1.833333333,0.666666667,1.333333333,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,9.46E-05,106.5,0.75,0.75,1,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-6.39E-05,114.5,0.75,0.75,1.5,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000112782,105.5,1.25,0.5,1.75,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000107656,115.608,1.4,0.6,1,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,9.94E-05,102.8,1.8,0.8,1.6,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,8.88E-05,114,0.833333333,0.5,1.5,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,9.27E-05,105.4,1.4,0.6,1.8,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000131459,120.75,1.5,0.5,0.75,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000110106,98.5,1.25,0.75,1.25,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000123622,116.2,2,1,1,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.00013051,105.1666667,1.083333333,0.75,1.333333333,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,6.70E-05,118.2,1.6,0.7,1.1,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000316839,105.25,0.875,0.75,1.25,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000145885,109.25,0.5,0.75,0.5,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-5.54E-05,98.5,1.666666667,0.833333333,1.333333333,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000117383,115.8333333,1.5,0.666666667,1.666666667,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-2.14E-05,108.125,1.625,0.75,1.5,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000155356,109,1,0.2,0.8,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000100821,106.8,2,0.6,1.4,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000193212,111.6733333,2.166666667,0.666666667,1,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,6.47E-05,102.3333333,0.833333333,0.333333333,0.666666667,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,1.22E-05,117.404,1.4,0.4,1.3,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000145953,107,0.2,0.8,1.2,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000503026,115,1.5,0.583333333,1.083333333,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,9.63E-05,106.8,0.8,0.4,1,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000132373,115.375,1.75,0.75,1.25,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000482912,108.125,1.125,0.875,1.25,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000121844,116.2,1.8,1,1,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,0.000128051,104.75,0.75,0.75,1,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.000109031,111,1,0.5,1.25,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,6.78E-05,113.6666667,1.166666667,0.833333333,0.666666667,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-7.14E-05,119.88,1.125,0.375,0.375,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,4.86E-06,103.2,1.1,0.5,1.5,1,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-0.00013311,118.8,2,0.4,0.8,2,,
-0.01,-0.000737915,18,-2165,-0.096449809,-0.01671875,-9.22E-05,107.5577778,1.277777778,0.666666667,1.222222222,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,5.25E-05,105.1733333,1.333333333,0.833333333,1.166666667,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,6.71E-05,102,0.75,0.75,1.25,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000245365,103.5,0.666666667,0.666666667,1.333333333,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000123702,111.4,1.2,0.6,1.8,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000217197,112.6,1.3,0.6,1.4,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000528658,112.1666667,1,0.333333333,0.833333333,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000162671,117.1666667,1.5,0.666666667,1.666666667,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000134198,115,1.2,0.6,1,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,9.96E-05,115,1.2,0.8,1.6,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000187713,103.25,0.75,0.75,1,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000293936,112.25,1.125,1,1.125,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000123031,105.1666667,0.333333333,0.833333333,1.333333333,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000210015,115.625,0.875,0.625,1.125,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000365806,106.76,0.75,0,1.25,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000160174,114.375,1.375,0.75,0.875,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000296646,106.6,1.8,0.2,0.8,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000167168,111.008,1.6,0.8,1.2,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000212858,111.1666667,1.166666667,0.833333333,1.333333333,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,2.86E-05,113.6666667,1.166666667,0.5,1,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,8.06E-05,98,0.6,0.8,1,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000206991,115,1.5,0.5,1.25,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000224634,104.208,1,0.6,0.2,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000115959,114.1733333,1.333333333,0.5,1.333333333,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000269912,111.75,0,0,0,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.00018953,114.75,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.00012154,104.6733333,0,0,0,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000291185,117.7,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000265178,102.42,0,0,0,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,7.55E-05,109.6733333,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000169281,112.5,0,0,0,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000123338,116.25,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000229762,97.8,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000122972,112,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000290471,108.505,0,0,0,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000130566,113.8333333,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.000122081,110,0,0,0,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,0.000186979,120.505,0,0,0,1,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,-0.00022078,107.5,0,0,0,2,,
0.03,0.025224529,-56,6718,0.166291232,0.0551375,4.89E-05,119.6733333,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-7.58E-05,115,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.00017429,114.6666667,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,2.18E-05,107.1666667,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000201158,106.6,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000178781,115.4,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.00018571,111.6,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-3.58E-05,112.5,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.00012187,113.8,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-1.54E-05,108,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-9.09E-05,116.6666667,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-2.54E-05,99.00666667,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000136764,115.2,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000138351,103.4,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000129002,110.008,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000156561,94.25,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000151945,116,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000237943,106.25,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000133828,118,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-6.45E-05,110.75,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000401613,104.2,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,9.16E-05,107,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000151177,108.8,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000138983,109.8,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-3.40E-06,115.8333333,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000102437,107.608,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,9.90E-05,105,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-4.83E-05,98,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000104766,110,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-2.40E-05,102,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000253986,111.75,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-6.17E-05,101.5,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000195968,112.5,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-5.39E-05,112.3333333,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000317282,110.0066667,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-8.45E-05,105.6,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000153933,117,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000200918,102.2,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000203573,104.505,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000187487,110.8333333,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000180773,117.4,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000109798,106.9,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000358513,100.6666667,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000237477,113.5,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,4.76E-07,109.2,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-6.56E-05,106.75,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,6.46E-05,111.1666667,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,5.37E-05,113.3,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000130141,118.6,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-0.000366394,108,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000185712,111.3333333,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,-4.00E-05,110.4,0,0,0,2,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000144022,112.5,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.00015949,98,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000311469,104.008,0,0,0,1,,
-0.01,-0.019010314,18,-1293,0.02282672,-0.03181875,0.000267846,103,0,0,0,1,,
0,-0.011450538,-34,455,0.12887028,-0.0048,0.00036112,106.5066667,0,0,0,1,,
0,-0.011450538,-34,455,0.12887028,-0.0048,-0.000101391,102.408,0,0,0,2,,
0,-0.011450538,-34,455,0.12887028,-0.0048,0.000314006,116.2,0,0,0,1,,
